CUSTOMERS 100
VEHICLE AUTONOMY 400
PIPELINE DEPTH 6

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 45 95
2 9 53
3 48 33
4 36 9
5 65 98
6 44 50
7 16 42
8 90 1
9 13 49
10 24 52
11 75 34
12 92 1
13 55 91
14 98 20
15 81 79
16 32 45
17 41 88
18 100 26
19 84 39
20 93 94
21 53 12
22 61 35
23 41 98
24 86 30
25 41 6
26 92 93
27 11 50
28 79 80
29 72 78
30 74 94
31 21 98
32 27 77
33 91 83
34 79 60
35 19 90
36 60 50
37 25 73
38 81 9
39 68 9
40 78 4
41 71 8
42 97 75
43 23 12
44 20 62
45 57 91
46 64 84
47 17 33
48 53 42
49 55 14
50 63 97
51 61 16
52 5 100
53 37 81
54 99 33
55 88 85
56 41 18
57 7 71
58 42 83
59 50 24
60 59 6
61 22 96
62 97 17
63 79 79
64 80 59
65 78 51
66 8 30
67 82 96
68 79 77
69 54 100
70 85 66
71 94 9
72 73 44
73 30 15
74 69 56
75 92 74
76 23 49
77 52 87
78 45 47
79 78 18
80 30 17
81 75 92
82 70 13
83 47 94
84 92 16
85 50 58
86 41 53
87 37 52
88 88 27
89 63 56
90 84 95
91 81 98
92 66 66
93 14 62
94 79 41
95 12 48
96 46 71
97 76 90
98 51 50
99 34 66
100 15 83

PIPELINE SOURCE : 
101 75 75
